,e,feat
2294,130,"1.5716823585157949, 8.724712960121792, 4.2, 1.0270398789581758, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5315,131,"1.7922839636457457, 8.77841597198056, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5316,132,"1.2590569440692718, 8.692540629276138, 3.5, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12470,133,"1.8082873160221773, 8.778993739597698, 3.6, 1.0013617205230736, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2295,134,"1.3891749512083056, 8.70892000518736, 4.0, 1.041824273208689, 0, 0, 0, 0, 0, 0, 0, 0, 0"
40,135,"1.8067698499859794, 8.753448716412638, 4.5, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12473,136,"1.8228954384109919, 8.775358686398835, 4.1, 1.0180914298065493, 0, 0, 0, 0, 0, 0, 0, 0, 0"
41,137,"1.397397664953032, 8.70892110867775, 3.7, 1.0303469145142117, 0, 0, 0, 0, 0, 0, 0, 0, 0"
42,138,"1.7939770826981878, 8.774080956748694, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
43,139,"1.7019702660745555, 8.733188439619122, 4.3, 1.0910407435426348, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8723,140,"1.7778766784514781, 8.773856162664364, 4.1, 1.0106992326812925, 0, 0, 0, 0, 0, 0, 0, 0, 0"
44,141,"1.5524553517876694, 8.724344780865499, 4.2, 1.0035015670593321, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2299,142,"1.2674285625819195, 8.69680885528468, 4.5, 1.000778126013185, 0, 0, 0, 0, 0, 0, 0, 0, 0"
45,143,"1.7843456455482078, 8.763763895184912, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2300,144,"1.795300789619425, 8.77079996810421, 3.5, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5323,145,"1.5734226647654763, 8.714409445928707, 4.5, 1.0021398465362585, 0, 0, 0, 0, 0, 0, 0, 0, 0"
46,146,"1.7907357464023592, 8.760997488422626, 4.1, 1.0301523830109154, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5325,147,"1.7950624412540384, 8.77490847478928, 4.4, 1.0745055657624554, 0, 0, 0, 0, 0, 0, 0, 0, 0"
47,148,"1.75444126298071, 8.760634758039776, 3.9, 1.0142007997406246, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2303,149,"1.1705835737001156, 8.700322225289213, 4.7, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12482,150,"1.2684267308615205, 8.692745523127027, 4.2, 1.0058359450988867, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12483,151,"1.8165902214925511, 8.772654230958514, 4.3, 1.0161461147735869, 0, 0, 0, 0, 0, 0, 0, 0, 0"
48,152,"1.7998653026432612, 8.754586246673801, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2305,153,"1.8053545256750452, 8.761181503237866, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12486,154,"1.265397816482257, 8.69401766051232, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
49,155,"1.7625270278147944, 8.754521514805438, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
