,e,feat
5584,242,"1.7982522957874858, 8.772292080375696, 5.0, 1.0312934631432544"
3953,243,"1.7974563962241445, 8.761662269685797, 4.9, 1.006258692628651"
90,244,"1.2690666210676929, 8.693511227002647, 3.5, 1.062586926286509"
91,245,"1.7726393767317052, 8.75854485322953, 3.0, 1.0013908205841446"
3955,246,"1.258038973072626, 8.694270110434852, 5.0, 1.0222531293463144"
92,247,"1.5779021613052988, 8.721842002321035, 5.0, 1.0013908205841446"
3957,248,"1.1319635302346978, 8.315514671837795, 5.0, 1.0006954102920724"
2429,249,"1.313361216607536, 8.696209285939364, 3.7, 1.027816411682893"
93,250,"1.8315687633797024, 8.774613425150235, 3.6, 1.1147426981919333"
5589,251,"1.5677368725946295, 8.723492294016978, 4.0, 1.0027816411682893"
94,252,"1.7969141145911394, 8.774556847888809, 4.1, 1.0458970792767732"
3959,253,"1.8027365640663549, 8.772345690058453, 3.7, 1.1126564673157162"
3960,254,"1.2640696824475706, 8.69482348904409, 5.0, 1.0013908205841446"
1139,255,"1.7627124894057458, 8.757482241860993, 5.0, 1.0083449235048678"
95,256,"1.7992347438378928, 8.775982700861734, 4.0, 1.0055632823365785"
3963,257,"1.8154501735052921, 8.773006892770873, 3.7, 1.004172461752434"
96,258,"1.5186798163894908, 8.715798335090833, 4.4, 1.3748261474269818"
97,259,"1.7917861387148584, 8.77151093386905, 4.3, 1.0104311543810849"
1143,260,"1.7107225368148287, 8.735127396919319, 4.2, 1.0312934631432544"
1144,261,"1.5261764039996049, 8.780648488896057, 2.8, 1.0368567454798332"
98,262,"1.782361901078156, 8.76483802774123, 4.5, 1.0013908205841446"
1145,263,"1.155432188820825, 8.711163295161562, 4.2, 1.0146036161335188"
99,264,"1.8134218132751538, 8.779813614252884, 0.0, 1.0"
3966,265,"1.5055124940961884, 8.723218902714706, 1.0, 1.0006954102920724"
1146,266,"1.0740415902477816, 8.316159241147075, 3.5, 1.0055632823365785"
100,267,"1.7392796718817927, 8.75383038069554, 4.0, 1.0027816411682893"
1147,268,"1.8067279382113526, 8.778291233925835, 0.0, 1.0"
3969,269,"1.8042956767805656, 8.770692873426876, 4.9, 1.3671766342141862"
5601,270,"1.2629603326481798, 8.694251469552023, 5.0, 1.0013908205841446"
101,271,"1.789843775826209, 8.768570618268472, 5.0, 1.0006954102920724"
1149,272,"1.7929131969680485, 8.774183949184923, 4.6, 1.0069541029207232"
2439,273,"1.8098274743285083, 8.774676654526038, 5.0, 1.0006954102920724"
2440,274,"1.7392464817857558, 8.743599865197115, 5.0, 1.0076495132127956"
102,275,"1.775910642435222, 8.758608107542967, 4.6, 1.0159944367176634"
5605,276,"1.0834804347079023, 8.318158921590667, 0.0, 1.0"
103,277,"1.2767577630826095, 8.694069854984239, 3.5, 1.023643949930459"
104,278,"1.8160041724086229, 8.779009419136266, 5.0, 1.0013908205841446"
3975,279,"1.793802808184335, 8.771068546442756, 4.5, 10.0"
2442,280,"1.505561589989048, 8.72317973192313, 0.0, 1.0"
105,281,"1.2990430038754743, 8.698818541954672, 3.5, 1.0375521557719054"
106,282,"1.8274400426791413, 8.77602253873507, 4.9, 1.011126564673157"
107,283,"1.177809153042034, 8.711385477028532, 2.8, 1.2746870653685676"
3980,284,"1.7945421626399698, 8.77763011849514, 5.0, 1.0006954102920724"
3981,285,"1.0744309111346757, 8.31611982721355, 0.0, 1.0"
108,286,"1.201777995918909, 8.751941703903707, 3.5, 1.1279554937413074"
2445,287,"3.3497793764360333, 7.769288706499207, 0.0, 1.0"
1154,288,"1.7075486941168503, 8.791020799792156, 4.3, 1.8852573018080667"
5612,289,"1.5690464233566948, 8.720406467310976, 3.0, 1.0027816411682893"
109,290,"1.5751268648563705, 8.720252913817978, 4.6, 1.0139082058414464"
110,291,"1.804342386803901, 8.773882384588504, 4.2, 1.0695410292072323"
3984,292,"1.5584247443158628, 8.722759937994951, 5.0, 1.0146036161335188"
3985,293,"1.8329901584030912, 8.790479397482557, 0.0, 1.0"
111,294,"1.7824128791569729, 8.756760016753548, 3.8, 1.1585535465924897"
1158,295,"1.8138905836171757, 8.784055911354507, 4.0, 1.0006954102920724"
5617,296,"1.8151575598630796, 8.772997628439139, 4.9, 1.1091794158553547"
1159,297,"1.262944691947971, 8.692857823535853, 2.0, 1.1515994436717663"
3988,298,"1.7824480309679513, 8.756450172862012, 5.0, 1.0027816411682893"
112,299,"1.7890414344151555, 8.775481834679274, 4.3, 1.0146036161335188"
1161,300,"1.813571672390883, 8.779620048323098, 0.0, 1.0"
2453,301,"1.8135723616420796, 8.779850665345409, 4.5, 1.0013908205841446"
113,302,"1.8022881001249411, 8.761431079097862, 4.8, 2.4707927677329624"
1164,303,"1.8016877358238732, 8.77138421327227, 0.0, 1.0"
5626,304,"1.81389066314616, 8.784055880182462, 0.0, 1.0"
115,305,"1.7990336415467336, 8.77128632681699, 3.4, 1.1182197496522948"
116,306,"1.5696274886242847, 8.718946350026338, 4.7, 1.0257301808066759"
5627,307,"1.741738495993272, 8.742254093207446, 0.0, 1.0"
3996,308,"1.5695437180943532, 8.726019636132794, 5.0, 1.0006954102920724"
5629,309,"4.867333742825131, 8.337711250073285, 0.0, 1.0"
117,310,"1.7827823443075, 8.773988269790497, 4.0, 1.049374130737135"
118,311,"1.7998843630897898, 8.761219402210012, 4.4, 1.017385257301808"
1168,312,"1.266409637237464, 8.695085327986535, 4.3, 1.0146036161335188"
3999,313,"1.2673384297332584, 8.694891462805119, 0.0, 1.0"
1169,314,"1.8075030807098393, 8.778970472783412, 4.5, 1.0535465924895688"
119,315,"1.740376297043725, 8.74277150551132, 1.0, 1.0006954102920724"
4001,316,"1.8122777358193636, 8.775635444281953, 4.8, 1.0146036161335188"
120,317,"1.7902306843339195, 8.771961388620557, 4.8, 1.0097357440890125"
121,318,"1.7457543650653777, 8.741624555058198, 3.0, 1.6557719054242002"
122,319,"1.2538389148733158, 8.701272542483334, 5.0, 1.0006954102920724"
4003,320,"1.5613485213781289, 8.721676566044534, 0.0, 1.0"
1171,321,"1.23717822893353, 8.710645034978068, 4.4, 1.021557719054242"
123,322,"1.8024269312215386, 8.778646969301818, 3.4, 1.150904033379694"
1173,323,"1.8065878346510074, 8.771307131039732, 4.3, 1.0361613351877608"
1174,324,"1.3256836229736235, 8.691720798261816, 5.0, 1.0006954102920724"
5639,325,"1.79454173848539, 8.777630168370411, 1.0, 1.0006954102920724"
4006,326,"1.814609260536944, 8.780791593519616, 5.0, 1.0006954102920724"
124,327,"1.7805992736935998, 8.756590185218721, 4.3, 1.0577190542420027"
4008,328,"1.0826626911835922, 8.317138554577328, 2.8, 1.0187760778859527"
125,329,"1.7940983643989599, 8.760886964820358, 4.9, 1.0924895688456189"
126,330,"5.75813031211088, 8.546733258503986, 0.0, 1.0"
5643,331,"1.4139584624887718, 8.653445186767362, 0.0, 1.0"
127,332,"1.7917120707209877, 8.76213368452027, 3.4, 1.1620305980528511"
128,333,"1.8017307344946163, 8.772716200983702, 4.4, 1.0048678720445063"
2468,334,"1.7849646726508812, 8.761540549085014, 4.0, 1.0027816411682893"
2469,335,"1.5937377340349128, 8.72572883836067, 5.0, 1.0069541029207232"
2470,336,"1.083977517368269, 8.316296541535882, 3.0, 1.0013908205841446"
2471,337,"1.5715478219843364, 8.725395384762356, 4.6, 1.056328233657858"
4017,338,"1.085244202007897, 8.316750961371493, 3.8, 1.0055632823365785"
5650,339,"1.81389066314616, 8.784055930057734, 0.0, 1.0"
5651,340,"1.7470080864805952, 8.7907848710534, 0.0, 1.0"
4018,341,"1.2650811850868422, 8.692561283873065, 4.2, 1.0104311543810849"
5652,342,"1.806288805670742, 8.775177832428946, 0.0, 1.0"
1179,343,"1.78466028871902, 8.75711084564967, 2.1, 1.0528511821974966"
4020,344,"1.8136757228117641, 8.773424860017222, 0.0, 1.0"
129,345,"1.0739342791385527, 8.314409971974282, 0.0, 1.0"
1180,346,"1.3905493446020847, 8.707945660581059, 3.4, 1.0194714881780251"
2475,347,"1.797668818140708, 8.77494554458503, 5.0, 1.011126564673157"
130,348,"1.8140957949058487, 8.778786189888587, 3.0, 1.0006954102920724"
2477,349,"1.8327828263415098, 8.790495731634064, 5.0, 1.0006954102920724"
1182,350,"1.2858663236717085, 8.717162087115979, 5.0, 1.0006954102920724"
131,351,"1.6780801303822912, 8.731737954496346, 3.7, 1.002086230876217"
132,352,"1.8105815681558672, 8.776166684504927, 4.5, 1.021557719054242"
2480,353,"1.8162050361128301, 8.779748938494201, 0.0, 1.0"
4027,354,"1.5785202075505014, 8.718134960401763, 5.0, 1.0006954102920724"
133,355,"1.5690837224502436, 8.725541662700081, 3.4, 1.0354659248956886"
134,356,"1.5507422974698768, 8.714051054694501, 3.5, 1.0243393602225312"
1186,357,"1.7107116943633285, 8.736861921714892, 4.2, 1.0097357440890125"
1187,358,"1.2743834517715786, 8.699354401874697, 4.2, 1.073018080667594"
2483,359,"1.1668475671231038, 8.700211439841768, 5.0, 1.002086230876217"
4031,360,"1.5939230365678956, 8.71543385907347, 0.0, 1.0"
135,361,"1.7944857500805718, 8.77691896569803, 4.5, 1.267037552155772"
1189,362,"1.792163583273461, 8.761181771317451, 4.0, 1.023643949930459"
136,363,"1.7755111948576854, 8.766049379639039, 5.0, 1.0006954102920724"
1191,364,"1.7781965440255796, 8.765464984845163, 0.0, 1.0"
2488,365,"1.79454173848539, 8.777630168370411, 1.0, 1.0006954102920724"
