,e,feat
7019,52,"5.673483944184113, 8.040121962087369, 0.0, 1.0"
7020,52,"4.723798155459349, 6.942756688742293, 4.8, 1.002807061318695"
7022,52,"8.075932547991613, 4.953483967266948, 4.0, 1.001122824527478"
7023,52,"4.863319086360832, 7.25165636189854, 4.3, 1.1616867319568336"
7021,52,"5.643180026533173, 4.188765163842845, 4.8, 1.002245649054956"
11134,52,"5.396466409858817, 5.973708329324836, 3.7, 1.001684236791217"
11135,52,"4.212257852085031, 5.9803659353174226, 0.0, 1.0"
11136,52,"6.613213816473035, 5.853105343008565, 0.0, 1.0"
11137,52,"5.771733452679769, 5.291146329704816, 4.1, 1.007859771692346"
11138,52,"4.432524015791955, 6.151136022665469, 4.6, 1.005052710373651"
11140,52,"5.957447948467916, 5.437502469792207, 0.0, 1.0"
3231,52,"4.305367709349014, 7.034677926829545, 4.2, 1.0684922961761587"
15390,52,"5.771733452679769, 5.291146329704816, 4.1, 1.007859771692346"
3233,52,"5.771733452679769, 5.291146329704816, 4.1, 1.007859771692346"
3232,52,"8.02800811981524, 4.943966444074249, 4.0, 1.0044912981099121"
3235,52,"5.84531585761539, 5.170289074020502, 2.0, 1.000561412263739"
3236,52,"4.019021466361778, 6.0054143296185885, 4.5, 1.189757345143784"
3237,52,"4.193474993206735, 7.2724950038657425, 4.3, 1.003368473582434"
3238,52,"6.498725956236001, 4.833463102462247, 0.0, 1.0"
3234,52,"4.055534165560971, 6.116402499960941, 4.3, 1.007859771692346"
11139,52,"2.8092780717035453, 6.57549606373027, 3.0, 1.000561412263739"
3239,53,"6.93069718523725, 4.758392319920404, 0.0, 1.0"
11141,54,"5.314480571583886, 7.394500968430975, 4.3, 1.087018900879546"
3240,54,"5.314480571583886, 7.394500968430975, 4.3, 1.087018900879546"
7024,54,"5.314480571583886, 7.394500968430975, 4.3, 1.087018900879546"
7025,55,"6.311403737033061, 4.3979143916187695, 4.5, 1.0269477886594722"
3241,55,"6.311403737033061, 4.3979143916187695, 4.5, 1.0269477886594722"
12,56,"4.34174460943359, 3.5740726458213885, 4.7, 1.0101054207473021"
3242,58,"4.207913431261204, 6.772969340237523, 4.4, 1.0550184018464226"
7026,58,"4.207913431261204, 6.772969340237523, 4.4, 1.0550184018464226"
15391,60,"5.165827725652434, 5.6990990470485485, 4.7, 1.008421183956085"
15392,61,"6.067465946326024, 4.4723564502251065, 4.6, 1.005052710373651"
15393,61,"4.869672873743184, 7.594664104169169, 0.0, 1.0"
7027,61,"6.067465946326024, 4.4723564502251065, 4.6, 1.005052710373651"
13,61,"6.067465946326024, 4.4723564502251065, 4.6, 1.005052710373651"
3245,61,"5.031988491600316, 5.683340069336509, 4.4, 1.0814047782421559"
3243,61,"6.604460527787978, 3.753359530618127, 3.7, 1.0129124820659972"
11143,61,"8.016622860156929, 3.489427926625467, 4.4, 1.0533341650552055"
11142,61,"6.067465946326024, 4.4723564502251065, 4.6, 1.005052710373651"
3244,61,"6.067465946326024, 4.4723564502251065, 4.6, 1.005052710373651"
7028,62,"5.770902546233344, 6.899107386429705, 4.3, 1.003929885846173"
11144,63,"3.9387446254174847, 5.818745457285559, 4.8, 1.00561412263739"
3248,63,"8.03963965922344, 5.070837865260046, 4.4, 1.1263177593412763"
15394,63,"3.9387446254174847, 5.818745457285559, 4.8, 1.00561412263739"
15395,63,"4.839702699678639, 5.660632424876667, 0.0, 1.0"
15396,63,"4.197157681057433, 6.305071188609645, 0.0, 1.0"
11145,63,"4.091068650799912, 6.4008800499925655, 0.0, 1.0"
14,63,"3.9387446254174847, 5.818745457285559, 4.8, 1.00561412263739"
3247,63,"6.8522075987403355, 5.064357675514657, 4.8, 1.0067369471648682"
3246,63,"4.464684238287816, 5.567013059852343, 4.5, 1.40084835630965"
7029,63,"3.9387446254174847, 5.818745457285559, 4.8, 1.00561412263739"
3249,63,"3.9387446254174847, 5.818745457285559, 4.8, 1.00561412263739"
15398,64,"4.3918395217619945, 5.904269899439441, 4.0, 1.000561412263739"
15397,64,"6.49646915908761, 6.324267299514759, 5.0, 1.000561412263739"
15399,64,"5.962940907565155, 5.749852357523878, 0.0, 1.0"
7030,64,"4.995718619631418, 7.295556663233583, 0.0, 1.0"
11146,64,"4.404881990953072, 2.722977475222251, 4.3, 1.001684236791217"
11147,64,"4.3918395217619945, 5.904269899439441, 4.0, 1.000561412263739"
7031,64,"4.3918395217619945, 5.904269899439441, 4.0, 1.000561412263739"
7032,65,"4.446872688330075, 7.9015337103130605, 4.3, 1.0572640509013786"
15,65,"4.446872688330075, 7.9015337103130605, 4.3, 1.0572640509013786"
15400,66,"5.158031935808651, 5.768756590086923, 0.0, 1.0"
3250,67,"7.67709860460667, 6.390760783215001, 4.5, 1.0471586301540765"
16,67,"7.67709860460667, 6.390760783215001, 4.5, 1.0471586301540765"
15401,68,"4.375038409283377, 5.764985064059147, 0.0, 1.0"
17,69,"3.3258394897941344, 6.994619463952176, 5.0, 1.000561412263739"
